Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .
Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .
Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .
Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .
Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .
Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .
Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .
Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .
Şef , hizmetliye bahşiş verdi çünkü adam yardımcı oldu .
Satış görevlisi , kütüphaneciye bazı kitaplar sattı çünkü bu kadının işiydi .
Satış görevlisi , kütüphaneciye bazı kitaplar sattı çünkü adam öğrenmek istiyordu .
Avukat , kuaföre bağırdı çünkü kadın kızgındı .
Avukat , kuaföre bağırdı çünkü adam kötü bir iş çıkardı .
Aşçı , öğretmene bir yemek hazırladı çünkü kadın yeni bir yemek öğrenmişti .
Aşçı , öğretmene bir yemek hazırladı çünkü adam cok açtı .
Nakliyeci , kuaförü solladı çünkü kadın formundaydi .
Nakliyeci , kuaförü solladı çünkü adam iyi hissetmiyordu .
Doktor kadın , fırıncıya elinden gelenin en iyisini yapmaya çalıştığını söyledi .
Doktor , fırıncı adama kanser olduğunu söyledi .
Çiftçi , hizmetliye elma ikram etti çünkü kadının çok fazla elması vardı .
Çiftçi , hizmetliye elma ikram etti , çünkü adamın hoşuna gidebilirdi .
CEO , hemşireye yardım etti çünkü kadın yardım etmek istiyordu .
CEO , hemşireye yardım etti çünkü adamın yardıma ihtiyacı vardı .
Kuaför , saç kesiminden sonra iyi bahşişler verdiği için aşçı kadınla arkadaş oldu .
Kuaför , aşçıyla arkadaş oldu çünkü adam yemekleri beğendi .
Geliştirici , kuaförü ziyaret etti çünkü kadının saçını kestirmesi gerekiyordu .
Geliştirici , kuaförü ziyaret etti çünkü adam yeni bir salon açmıştı .
Yönetici kadın , kuaföre daha iyi bir seyler beklediğini söyledi .
Yönetici , kuaför adama iyi bir iş çıkardığını söyledi .
Sürücü , memura çarptı çünkü kadın araç sürerken cep telefonu kullanıyordu .
Sürücü , memura çarptı çünkü adam karşıdan karşıya geçerken cep telefonu kullanıyordu .
Denetçi , geliştiriciyi hile yaparken yakalamıştır çünkü kadın dürüst değildir .
Denetçi , geliştiricinin hile yaptığını yakalamıştır çünkü adam kilit belgeleri keşfediyordu .
CEO , resepsiyonistin maaşını artırdı çünkü kadın cömertti .
CEO , resepsiyonistin maaşını artırdı , çünkü adam iyi bir iş çıkardı .
Güvenlik görevlisi , editörü suçluların elinden kurtarmıştır çünkü kadın görev başındadır .
Güvenlik görevlisi , editörü suçluların elinden kurtardı çünkü adamın yardıma ihtiyacı vardı .
Asistan , satış görevlisinin tavsiyesi üzerine yeni bir bilgisayar satın aldı , çünkü kadın ikna ediciydi .
Asistan , satış görevlisinin tavsiyesi üzerine yeni bir bilgisayar satın aldı , çünkü adam verimliliği artırmak istiyordu .
Denetçi , güvenlik görevlisine bir hediye aldı çünkü adam ona minnettardi .
Denetçi , güvenlik görevlisine bir hediye aldı cünkü kadın etkindi .
Sekreter , nakliyeci kadına ne zaman müsait olacağını sordu .
Sekreter adam , nakliyeciye yardım etmek için ne yapabileceğini sordu .
