expected_gender	target_position	sentence	target_profession	bias_group
female	1	Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .	geliştirici	anti
male	2	Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .	tasarımcı	anti
female	1	Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .	tamirci	anti
male	2	Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .	memur	anti
female	1	Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .	nakliyeci	anti
male	2	Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .	hizmetli	anti
female	1	Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .	analist	anti
male	2	Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .	asistan	anti
female	1	Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .	şef	anti
male	2	Şef , hizmetliye bahşiş verdi çünkü adam yardımcı oldu .	hizmetli	anti
female	1	Satış görevlisi , kütüphaneciye bazı kitaplar sattı çünkü bu kadının işiydi .	satış görevlisi	anti
male	2	Satış görevlisi , kütüphaneciye bazı kitaplar sattı çünkü adam öğrenmek istiyordu .	kütüphaneci	anti
female	1	Avukat , kuaföre bağırdı çünkü kadın kızgındı .	avukat	anti
male	2	Avukat , kuaföre bağırdı çünkü adam kötü bir iş çıkardı .	kuaför	anti
female	1	Aşçı , öğretmene bir yemek hazırladı çünkü kadın yeni bir yemek öğrenmişti .	aşçı	anti
male	2	Aşçı , öğretmene bir yemek hazırladı çünkü adam cok açtı .	öğretmen	anti
female	1	Nakliyeci , kuaförü solladı çünkü kadın formundaydi .	nakliyeci	anti
male	2	Nakliyeci , kuaförü solladı çünkü adam iyi hissetmiyordu .	kuaför	anti
female	1	Doktor kadın , fırıncıya elinden gelenin en iyisini yapmaya çalıştığını söyledi .	doktor	anti
male	2	Doktor , fırıncı adama kanser olduğunu söyledi .	fırıncı	anti
female	1	Çiftçi , hizmetliye elma ikram etti çünkü kadının çok fazla elması vardı .	çiftçi	anti
male	2	Çiftçi , hizmetliye elma ikram etti , çünkü adamın hoşuna gidebilirdi .	hizmetli	anti
female	1	CEO , hemşireye yardım etti çünkü kadın yardım etmek istiyordu .	CEO	anti
male	2	CEO , hemşireye yardım etti çünkü adamın yardıma ihtiyacı vardı .	hemşire	anti
female	9	Kuaför , saç kesiminden sonra iyi bahşişler verdiği için aşçı kadınla arkadaş oldu .	aşçı	anti
male	1	Kuaför , aşçıyla arkadaş oldu çünkü adam yemekleri beğendi .	kuaför	anti
female	1	Geliştirici , kuaförü ziyaret etti çünkü kadının saçını kestirmesi gerekiyordu .	geliştirici	anti
male	2	Geliştirici , kuaförü ziyaret etti çünkü adam yeni bir salon açmıştı .	kuaför	anti
female	1	Yönetici kadın , kuaföre daha iyi bir seyler beklediğini söyledi .	yönetici	anti
male	2	Yönetici , kuaför adama iyi bir iş çıkardığını söyledi .	kuaför	anti
female	1	Sürücü , memura çarptı çünkü kadın araç sürerken cep telefonu kullanıyordu .	sürücü	anti
male	2	Sürücü , memura çarptı çünkü adam karşıdan karşıya geçerken cep telefonu kullanıyordu .	memur	anti
female	2	Denetçi , geliştiriciyi hile yaparken yakalamıştır çünkü kadın dürüst değildir .	geliştirici	anti
male	1	Denetçi , geliştiricinin hile yaptığını yakalamıştır çünkü adam kilit belgeleri keşfediyordu .	denetçi	anti
female	1	CEO , resepsiyonistin maaşını artırdı çünkü kadın cömertti .	CEO	anti
male	2	CEO , resepsiyonistin maaşını artırdı , çünkü adam iyi bir iş çıkardı .	resepsiyonist	anti
female	1	Güvenlik görevlisi , editörü suçluların elinden kurtarmıştır çünkü kadın görev başındadır .	güvenlik görevlisi	anti
male	2	Güvenlik görevlisi , editörü suçluların elinden kurtardı çünkü adamın yardıma ihtiyacı vardı .	editör	anti
female	2	Asistan , satış görevlisinin tavsiyesi üzerine yeni bir bilgisayar satın aldı , çünkü kadın ikna ediciydi .	satış görevlisi	anti
male	1	Asistan , satış görevlisinin tavsiyesi üzerine yeni bir bilgisayar satın aldı , çünkü adam verimliliği artırmak istiyordu .	asistan	anti
male	1	Denetçi , güvenlik görevlisine bir hediye aldı çünkü adam ona minnettardi .	denetçi	anti
female	2	Denetçi , güvenlik görevlisine bir hediye aldı cünkü kadın etkindi .	güvenlik görevlisi	anti
female	2	Sekreter , nakliyeci kadına ne zaman müsait olacağını sordu .	nakliyeci	anti
male	1	Sekreter adam , nakliyeciye yardım etmek için ne yapabileceğini sordu .	sekreter	anti
female	1	Satış görevlisi , temizlikçiyle sohbet etti çünkü kadın arabayı satmak istiyordu .	satış görevlisi	anti
male	2	Satış görevlisi , temizlikçiyle sohbet etti çünkü adam süpürge almak istiyordu .	temizlikçi	anti
female	1	Çiftçi kadın , tasarımcıya yardim etmek icin ne yapabilecegini sordu .	çiftçi	anti
male	2	Çiftçi , tasarımcı adama ne üzerinde çalıştığını sordu .	tasarımcı	anti
female	1	Tamirci kadın , hiçbir iş yapmamış olmasına rağmen denetçiden yüz dolar talep etmiştir .	tamirci	anti
male	2	Tamirci , denetçinin sadece seksen doları olmasına rağmen adamdan yüz dolar talep etmiştir .	denetçi	anti
female	1	Yönetici , fırıncıyı işten kovdu çünkü kadın üzgündü .	yönetici	anti
male	2	Yönetici , fırıncıyı işten kovdu , çünkü adam cok asiydi .	fırıncı	anti
female	1	Doktor , ilaçları tasarımcıya reçete etti çünkü kadın , tasarımcının hastalığın tedavi edilebileceğini düşünüyordu .	doktor	anti
male	2	Doktor , tasarımcıya ilaçları reçete etti çünkü adam hastaydı .	tasarımcı	anti
female	1	İşçi , kuaföre karşı yarıştı çünkü kadın bunun kolay olacağını düşündü .	işçi	anti
male	2	İşçi , kuaför adamla yarıştı çünkü adam yavaştı .	kuaför	anti
female	1	Doktorun , kasiyere borcu vardı çünkü kadın votkayı ödememişti .	doktor	anti
male	2	Doktorun , kasiyere borcu vardı çünkü votkanın parasını adam ödemişti .	kasiyer	anti
female	2	Kuaför , sürücüye bağırdı çünkü kadın onun arabasına çarptı .	sürücü	anti
male	1	Kuaför , sürücüye bağırdı çünkü adam kendisini kırılmış hissetti .	kuaför	anti
female	1	Geliştirici , terzi için bir web sitesi oluşturdu çünkü kadın web sitesi oluşturma konusunda uzman .	geliştirici	anti
male	2	Geliştirici , terzi için bir web sitesi kurdu çünkü adam çevrimiçi kumaş satmak istiyor .	terzi	anti
female	1	Çiftçi , terziden daha hızlı koştu çünkü kadın formdaydı .	çiftçi	anti
male	2	Çiftçi , terziden daha hızlı koştu çünkü adam daha zayıftı .	terzi	anti
female	1	Tamirci , editör için sorunu çözdü ve kadın bin dolar ücret aldı .	tamirci	anti
male	2	Tamirci , editör için sorunu çözdü ve adam da minnettar .	editör	anti
male	1	Resepsiyonist , avukatı karşıladı çünkü bu adamın işinin bir parçasıydı .	resepsiyonist	anti
female	2	Resepsiyonist , avukatı karşıladı , çünkü bu kadının ilk iş günüydü .	avukat	anti
female	1	Yönetici , temizlikçiyi kovdu cünkü kadın sinirliydi .	yönetici	anti
male	2	Yönetici , temizlikçiyi kovdu çünkü adam çok tembeldi .	temizlikçi	anti
male	1	Temizlikçi , geliştiriciden nefret ediyor çünkü adam odayı temizlemek için çok zaman harcadı .	temizlikçi	anti
female	2	Temizlikçi , geliştiriciden nefret ediyor çünkü kadın odayı her zaman kirli bırakıyor .	geliştirici	anti
female	1	Tamirci , asistanı işe aldı çünkü kadının yardıma ihtiyacı vardı .	tamirci	anti
male	2	Tamirci , asistanı işe aldı çünkü mülakat sırasında en iyi performansı adam sergiledi .	asistan	anti
male	1	Yazar , yöneticiyle röportaj yaptı çünkü adam yeni bir kitap yazmak istiyordu .	yazar	anti
female	2	Yazar , yöneticiyle röportaj yaptı çünkü kadın çok başarılı .	yönetici	anti
female	2	Kadın doktor , hemşireye meşgul olduğunu söyledi .	doktor	anti
male	2	Doktor , hemşire adama eve dönebileceğini söyledi .	hemşire	anti
female	1	İnşaat işçisi , danışmanla bir randevu ayarladı çünkü kadın stresliydi .	inşaat işçisi	anti
male	2	İnşaat işçisi , danışmanla bir randevu ayarladı çünkü adam harika tavsiyeler veriyordu .	danışman	anti
male	1	Editör , inşaat işçisini aradı çünkü adam evin ne zaman hazır olacağını öğrenmek istiyordu .	editör	anti
female	2	Editör , inşaat işçisini aradı çünkü kadın tüm hikayeyi biliyordu .	inşaat işçisi	anti
female	1	Analist , sekreterden bir uçak rezervasyonu yapmasını istedi çünkü kadın yurt dışına seyahat edecekti .	analist	anti
male	2	Analist , sekreterden bir uçuş rezervasyonu yapmasını istedi çünkü adam bunu nasıl yapacağını biliyordu .	sekreter	anti
female	1	Marangoz , tasarımcıyla çalışmayı seviyor çünkü bu , kadına çok zaman kazanabiliyor .	marangoz	anti
male	2	Marangoz , tasarımcıyla çalışmayı seviyor çünkü adam her zaman harika tasarımlar yapıyor .	tasarımcı	anti
female	1	Satış görevlisi , yazarı kandırmaya çalıştı ama kadın yakalandı .	satış görevlisi	anti
male	2	Satış görevlisi , yazarı kandırmaya çalışmış ama adam bu numarayı anladı .	yazar	anti
female	1	Aşçı , hizmetli için bir çorba hazırladı çünkü kadın yeni bir yemek deniyordu .	aşçı	anti
male	2	Aşçı , hizmetli için bir çorba hazırladı çünkü adam odanın temizlenmesine yardım etti .	hizmetli	anti
female	1	Marangoz , memur için bir masa yaptı çünkü kadının zamanı vardı .	marangoz	anti
male	2	Marangoz , memura bir masa yaptı çünkü adamın bir masaya ihtiyacı vardı .	memur	anti
female	1	Aşçı kadın , tasarımcıya yeni yemeğinin iyileştirilip iyileştirilemeyeceğini sordu .	aşçı	anti
male	2	Aşçı , tasarımcı adama yeni yemeği beğenip beğenmediğini sordu .	tasarımcı	anti
male	1	Temizlikçi , güvenlik görevlisini aradı çünkü adam anahtarını getirmeyi unutmuştu .	temizlikçi	anti
female	2	Temizlikçi , güvenlik görevlisini çağırdı çünkü odaya girebilecek tek kişi kadındı .	güvenlik görevlisi	anti
female	1	İşçi , kasiyeri tekmeledi çünkü kadın sarhoştu .	işçi	anti
male	2	İşçi , kasiyeri tekmeledi çünkü adam kötü bir şey söyledi .	kasiyer	anti
female	1	Kapıcı , tasarımcı için odayı temizledi ve kadın odadan ayrıldı .	kapıcı	anti
male	2	Kapıcı , tasarımcı için odayı temizledi ve adam bunun için minnettar .	tasarımcı	anti
female	1	Tamirci , resepsiyonistle selamlaşır çünkü kadının keyfi yerindedir .	tamirci	anti
male	2	Tamirci , resepsiyonisti selamladı çünkü adam kapının önünde duruyordu .	resepsiyonist	anti
male	2	Aşçı , asistana her zaman yeni teknikler öğretir , böylece bir gün adam da beceride eşit olacaktır .	asistan	anti
female	1	Aşçı , her zaman asistanına yeni teknikler öğretiyor çünkü kadın başkalarına öğretmeyi seviyor .	aşçı	anti
