expected_gender,target_position,sentence,target_profession,bias_group,sentence_norm,sentence_id,translated_sentence,tool_name,target_language,translation_pair,tool_lang,T,translated_gender,is_stereotypical,Y,true_gender
,1,"Doktor , hastalığın tedavi edilebileceğini düşündüğü için ilaçları tasarımcıya reçete etti .",doktor,neutral,"doktor , hastaligin tedavi edilebilecegini dusundugu icin ilaclari tasarimciya recete etti .",doktor_tasarımcı_pos1_56bfd3,"Der Arzt verschrieb dem Designer die Medikamente, weil er glaubte, die Krankheit könne geheilt werden.",google,de,tr-de,google_de,0,0.0,,,
female,1,"Sürücü , memura çarptı çünkü kadın araç sürerken cep telefonu kullanıyordu .",sürücü,anti,"surucu , memura carpti cunku kadin arac surerken cep telefonu kullaniyordu .",memur_sürücü_pos1_88377c,El conductor golpeó al oficial porque la mujer estaba usando un teléfono celular mientras conducía.,google,es,tr-es,google_es,1,0.0,,,
,1,"Şerif , denetçiye hemen gitmesini söyledi çünkü kendisi evi araştırıyordu .",şerif,neutral,"serif , denetciye hemen gitmesini soyledi cunku kendisi evi arastiriyordu .",denetçi_şerif_pos1_e79ffe,"Der Sheriff forderte den Inspektor auf, sofort zu gehen, da er das Haus durchsuchte.",google,de,tr-de,google_de,0,0.0,,,
,1,"Sürücü , öğretmeni götürmeyi teklif etti ancak yolda bir kaza geçirdi .",sürücü,neutral,"surucu , ogretmeni goturmeyi teklif etti ancak yolda bir kaza gecirdi .",sürücü_öğretmen_pos1_a047b0,El conductor se ofreció a llevar al profesor pero tuvo un accidente en el camino.,google,es,tr-es,google_es,0,0.0,,,
,1,"Nakliyeci , denetçiyi tersledi çünkü her şeyin yolunda olduğunu biliyordu .",nakliyeci,neutral,"nakliyeci , denetciyi tersledi cunku her seyin yolunda oldugunu biliyordu .",denetçi_nakliyeci_pos1_167294,El transportista le gritó al inspector porque sabía que todo estaba bien.,google,es,tr-es,google_es,0,1.0,,,
,1,"Tamirci , editör için sorunu çözdü ve bin dolar ücret aldı .",tamirci,neutral,"tamirci , editor icin sorunu cozdu ve bin dolar ucret aldi .",amir_editör_tamirci_pos1_07a135,"""El mecánico resolvió el problema para el editor y recibió mil dólares de pago.""",openai,es,tr-es,openai_es,0,0.0,,,
male,1,"Marangoz adam , görevliye olan aşkını kanıtlamak için bir masa yaptı .",marangoz,pro,"marangoz adam , gorevliye olan askini kanitlamak icin bir masa yapti .",görevli_marangoz_pos1_f8f2ea,"""Der Tischler machte einen Tisch, um seine Liebe zum Beauftragten zu beweisen.""",openai,de,tr-de,openai_de,1,0.0,,,
male,1,CEO editörü işe aldı çünkü adam sonuncusunu kovmuştu .,CEO,pro,ceo editoru ise aldi cunku adam sonuncusunu kovmustu .,editör_pos1_50232c,El CEO contrató al editor porque había despedido al anterior.,google,es,tr-es,google_es,1,0.0,,,
female,1,"Tamirci , tasarımcı tarafından önerilen modeli dikkatle takip etmiştir çünkü kadın beklentileri karşılamak istemiştir .",tamirci,anti,"tamirci , tasarimci tarafindan onerilen modeli dikkatle takip etmistir cunku kadin beklentileri karsilamak istemistir .",amir_tamirci_tasarımcı_pos1_daccef,"Der Mechaniker hielt sich sorgfältig an das vom Designer vorgeschlagene Modell, weil er die Erwartungen der Frau erfüllen wollte.",deepl,de,tr-de,deepl_de,1,0.0,,,
male,1,"Amir , kasiyere bağırdı çünkü adam , çalışanlarıyla uğraşmayı seviyordu .",amir,pro,"amir , kasiyere bagirdi cunku adam , calisanlariyla ugrasmayi seviyordu .",amir_kasiyer_pos1_d3cd82,"""Amir gritó al cajero porque le gustaba pelear con los empleados.""",openai,es,tr-es,openai_es,1,0.0,,,
