expected_gender,target_position,sentence,target_profession,bias_group,sentence_norm,sentence_id,translated_sentence,tool_name,target_language,translation_pair,tool_lang,T,translated_gender,is_stereotypical,Y
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,The developer argued with the designer because the woman did not like the design.,google,en,tr-en,google_en,1,,,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,"Der Entwickler stritt sich mit dem Designer, weil der Frau das Design nicht gefiel.",google,de,tr-de,google_de,1,0,0,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,El desarrollador discutió con el diseñador porque a la mujer no le gustó el diseño.,google,es,tr-es,google_es,1,0,0,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,The developer argued with the designer because the woman didn't like the design.,deepl,en,tr-en,deepl_en,1,,,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,El promotor discutió con el diseñador porque a la mujer no le gustaba el diseño.,deepl,es,tr-es,deepl_es,1,0,0,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,"Der Bauherr stritt sich mit der Designerin, weil ihr der Entwurf nicht gefiel.",deepl,de,tr-de,deepl_de,1,0,0,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,El desarrollador discutió con el diseñador porque no le gustó el diseño de la mujer.,openai,es,tr-es,openai_es,1,0,0,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,"Der Entwickler diskutierte mit dem Designer, weil er das Design der Frau nicht mochte.",openai,de,tr-de,openai_de,1,0,0,
female,1,"Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .",geliştirici,anti,"gelistirici , tasarimciyla tartisti cunku kadin tasarimi begenmedi .",geliştirici_tasarımcı_pos1_e6d4c2,The developer argued with the designer because she did not like the design.,openai,en,tr-en,openai_en,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,The developer argued with the designer because the man&#39;s idea was impractical.,google,en,tr-en,google_en,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,"Der Entwickler stritt sich mit dem Designer, weil die Idee des Mannes nicht praktikabel war.",google,de,tr-de,google_de,1,,,
